n,level,type,option1_correct,option2_correct,option3_correct,option4_correct,ques,img,option1_label,option2_label,option3_label,option4_label,feedback_correct,feedback_incorrect,object_of_assessment
1,easy,radio,TRUE,FALSE,FALSE,FALSE,"С другой стороны ::i::укрепление::/i:: и ::em::развитие::/em:: структуры ::b::позволяет::/b:: ::st::выполнять::/st:: важные задания по ::c::разработке::/c:: системы обучения кадров, соответствует насущным потребностям. $2+2=4$",./img/data-wrangling/full_join.png,"Задача организации, $4 + 4 \neq 1$ в особенности же рамки и место обучения кадров позволяет выполнять важные задания по разработке систем массового участия.",Равным образом новая модель организационной деятельности позволяет выполнять важные задания по разработке форм развития.,Разнообразный и богатый опыт постоянный количественный рост и сфера нашей активности требуют от нас анализа систем массового участия.,"Идейные соображения высшего порядка, а также консультация с широким активом позволяет оценить значение направлений прогрессивного развития.","Идейные соображения высшего порядка, а также рамки и место обучения кадров требуют определения и уточнения направлений прогрессивного развития.","Не следует, однако забывать, что новая модель организационной деятельности играет важную роль в формировании системы обучения кадров, соответствует насущным потребностям.",NA
2,medium,radio,FALSE,TRUE,FALSE,FALSE,"С другой ::sm::стороны::/sm:: ::u::укрепление::/u:: и ::in::развитие::/in:: структуры позволяет выполнять важные задания по разработке системы обучения ::ma::кадров::/ma::, ::del::соответствует::/del:: ::sup::насущным::/sup:: ::sub::потребностям::/sub::.",NA,::c::code 1::/c::,::c::code 2::/c::,::c::code 3::/c::,::c::code 4::/c::,"Идейные соображения высшего порядка, а также рамки и место обучения кадров требуют определения и уточнения направлений прогрессивного развития.","Не следует, однако забывать, что новая модель организационной деятельности играет важную роль в формировании системы обучения кадров, соответствует насущным потребностям.",NA
3,hard,checkbox,TRUE,TRUE,FALSE,FALSE,"С другой стороны укрепление и развитие структуры позволяет выполнять важные задания по разработке системы обучения кадров, соответствует насущным потребностям.",./img/data-wrangling/inner_join.png,"Задача организации, в особенности же рамки и место обучения кадров позволяет выполнять важные задания по разработке систем массового участия.",Равным образом новая модель организационной деятельности позволяет выполнять важные задания по разработке форм развития.,Разнообразный и богатый опыт постоянный количественный рост и сфера нашей активности требуют от нас анализа систем массового участия.,"Идейные соображения высшего порядка, а также консультация с широким активом позволяет оценить значение направлений прогрессивного развития.","Идейные соображения высшего порядка, а также рамки и место обучения кадров требуют определения и уточнения направлений прогрессивного развития.","Не следует, однако забывать, что новая модель организационной деятельности играет важную роль в формировании системы обучения кадров, соответствует насущным потребностям.",NA
4,extreme,checkbox,FALSE,FALSE,TRUE,TRUE,"С другой стороны укрепление и развитие структуры позволяет выполнять важные задания по разработке системы обучения кадров, соответствует насущным потребностям.",NA,::c::code 1::c::,::c::code 2::/c::,::c::code 3::/c::,::c::code 4::/c::,"Идейные соображения высшего порядка, а также рамки и место обучения кадров требуют определения и уточнения направлений прогрессивного развития.","Не следует, однако забывать, что новая модель организационной деятельности играет важную роль в формировании системы обучения кадров, соответствует насущным потребностям.",NA
5,easy,radio,TRUE,FALSE,FALSE,FALSE,"С другой стороны укрепление и развитие структуры позволяет выполнять важные задания по разработке системы обучения кадров, соответствует насущным потребностям.",NA,"Задача организации, в особенности же рамки и место обучения кадров позволяет выполнять важные задания по разработке систем массового участия.",Равным образом новая модель организационной деятельности позволяет выполнять важные задания по разработке форм развития.,Разнообразный и богатый опыт постоянный количественный рост и сфера нашей активности требуют от нас анализа систем массового участия.,"Идейные соображения высшего порядка, а также консультация с широким активом позволяет оценить значение направлений прогрессивного развития.","Идейные соображения высшего порядка, а также рамки и место обучения кадров требуют определения и уточнения направлений прогрессивного развития.","Не следует, однако забывать, что новая модель организационной деятельности играет важную роль в формировании системы обучения кадров, соответствует насущным потребностям.",NA
6,easy,radio,FALSE,TRUE,FALSE,FALSE,"С другой стороны укрепление и развитие структуры позволяет выполнять важные задания по разработке системы обучения кадров, соответствует насущным потребностям.",NA,"Задача организации, в особенности же рамки и место обучения кадров позволяет выполнять важные задания по разработке систем массового участия.",Равным образом новая модель организационной деятельности позволяет выполнять важные задания по разработке форм развития.,Разнообразный и богатый опыт постоянный количественный рост и сфера нашей активности требуют от нас анализа систем массового участия.,"Идейные соображения высшего порядка, а также консультация с широким активом позволяет оценить значение направлений прогрессивного развития.","Идейные соображения высшего порядка, а также рамки и место обучения кадров требуют определения и уточнения направлений прогрессивного развития.","Не следует, однако забывать, что новая модель организационной деятельности играет важную роль в формировании системы обучения кадров, соответствует насущным потребностям.",NA
7,medium,radio,FALSE,FALSE,TRUE,FALSE,"С другой стороны укрепление и развитие структуры позволяет выполнять важные задания по разработке системы обучения кадров, соответствует насущным потребностям.",NA,"Задача организации, в особенности же рамки и место обучения кадров позволяет выполнять важные задания по разработке систем массового участия.",Равным образом новая модель организационной деятельности позволяет выполнять важные задания по разработке форм развития.,Разнообразный и богатый опыт постоянный количественный рост и сфера нашей активности требуют от нас анализа систем массового участия.,"Идейные соображения высшего порядка, а также консультация с широким активом позволяет оценить значение направлений прогрессивного развития.","Идейные соображения высшего порядка, а также рамки и место обучения кадров требуют определения и уточнения направлений прогрессивного развития.","Не следует, однако забывать, что новая модель организационной деятельности играет важную роль в формировании системы обучения кадров, соответствует насущным потребностям.",NA
8,hard,radio,FALSE,FALSE,FALSE,TRUE,"С другой стороны укрепление и развитие структуры позволяет выполнять важные задания по разработке системы обучения кадров, соответствует насущным потребностям.",NA,::c::code 1::/c::,::c::code 2::/c::,::c::code 3::/c::,::c::code 4::/c::,"Идейные соображения высшего порядка, а также рамки и место обучения кадров требуют определения и уточнения направлений прогрессивного развития.","Не следует, однако забывать, что новая модель организационной деятельности играет важную роль в формировании системы обучения кадров, соответствует насущным потребностям.",NA
9,extreme,radio,TRUE,FALSE,FALSE,FALSE,"С другой стороны укрепление и развитие структуры позволяет выполнять важные задания по разработке системы обучения кадров, соответствует насущным потребностям.",NA,::c::code 1::/c::,::c::code 2::/c::,::c::code 3::/c::,::c::code 4::/c::,"Идейные соображения высшего порядка, а также рамки и место обучения кадров требуют определения и уточнения направлений прогрессивного развития.","Не следует, однако забывать, что новая модель организационной деятельности играет важную роль в формировании системы обучения кадров, соответствует насущным потребностям.",NA
10,extreme,radio,FALSE,TRUE,FALSE,FALSE,"С другой стороны укрепление и развитие структуры позволяет выполнять важные задания по разработке системы обучения кадров, соответствует насущным потребностям.",NA,::c::code 1::/c::,::c::code 2::/c::,::c::code 3::/c::,::c::code 4::/c::,"Идейные соображения высшего порядка, а также рамки и место обучения кадров требуют определения и уточнения направлений прогрессивного развития.","Не следует, однако забывать, что новая модель организационной деятельности играет важную роль в формировании системы обучения кадров, соответствует насущным потребностям.",NA
